Timestamp,CT_R (A),CT_Y (A),CT_B (A)
2025-06-29 06:02:44,0.62,0.16,0.06
2025-06-29 06:03:45,0.6,0.12,0.06
2025-06-29 06:04:46,0.62,0.12,0.06
2025-06-29 06:05:46,0.62,0.16,0.06
2025-06-29 06:06:47,0.59,0.21,0.06
2025-06-29 06:07:47,0.61,0.23,0.06
2025-06-29 06:08:48,0.58,0.2,0.06
2025-06-29 06:09:48,0.61,0.17,0.06
2025-06-29 06:10:49,0.6,0.2,0.06
2025-06-29 06:11:49,0.59,0.13,0.06
2025-06-29 06:12:50,0.62,0.15,0.06
2025-06-29 06:13:50,0.6,0.11,0.06
2025-06-29 06:14:51,0.6,0.18,0.06
2025-06-29 06:15:51,0.6,0.14,0.06
2025-06-29 06:16:52,0.61,0.22,0.06
2025-06-29 06:17:52,0.6,0.12,0.06
2025-06-29 06:18:53,0.59,0.12,0.06
2025-06-29 06:19:53,0.58,0.18,0.06
2025-06-29 06:20:54,0.61,0.16,0.06
2025-06-29 06:21:54,0.59,0.19,0.06
2025-06-29 06:22:55,0.6,0.21,0.06
2025-06-29 06:23:55,0.61,0.16,0.06
2025-06-29 06:24:56,0.59,0.22,0.06
2025-06-29 06:25:57,0.58,0.21,0.06
2025-06-29 06:26:57,0.6,0.14,0.06
2025-06-29 06:27:58,0.59,0.15,0.06
2025-06-29 06:28:58,0.6,0.16,0.06
2025-06-29 06:29:59,0.6,0.12,0.06
2025-06-29 06:30:59,0.6,0.17,0.06
2025-06-29 06:32:00,0.59,0.12,0.06
2025-06-29 06:33:00,0.59,0.12,0.06
2025-06-29 06:34:01,0.57,0.18,0.06
2025-06-29 06:35:01,0.58,0.19,0.06
2025-06-29 06:36:02,0.58,0.16,0.06
2025-06-29 06:37:02,0.59,0.12,0.06
2025-06-29 06:38:03,0.59,0.12,0.06
2025-06-29 06:39:03,0.58,0.15,0.06
2025-06-29 06:40:04,0.58,0.21,0.06
2025-06-29 06:41:04,0.58,0.12,0.06
2025-06-29 06:42:05,0.59,0.11,0.06
2025-06-29 06:43:05,0.6,0.17,0.06
2025-06-29 06:44:06,0.58,0.16,0.06
2025-06-29 06:45:06,0.57,0.19,0.06
2025-06-29 06:46:07,0.6,0.16,0.06
2025-06-29 06:46:59,0.57,0.19,0.06
2025-06-29 06:48:00,0.57,0.18,0.06
2025-06-29 06:49:00,0.57,0.19,0.06
2025-06-29 06:50:01,0.57,0.19,0.06
2025-06-29 06:51:01,0.58,0.16,0.06
2025-06-29 06:52:02,0.59,0.16,0.06
2025-06-29 06:53:02,0.44,0.19,0.06
2025-06-29 06:54:03,0.43,0.15,0.06
2025-06-29 06:55:03,0.43,0.16,0.06
2025-06-29 06:56:04,0.44,0.2,0.06
2025-06-29 06:57:04,0.45,0.13,0.06
2025-06-29 06:58:05,0.44,0.15,0.06
2025-06-29 06:59:05,0.46,0.09,0.06
2025-06-29 07:00:06,0.43,0.15,0.06
2025-06-29 07:01:06,0.44,0.16,0.06
2025-06-29 07:02:07,0.44,0.17,0.06
2025-06-29 07:03:08,0.46,0.1,0.06
2025-06-29 07:04:08,0.45,0.11,0.06
2025-06-29 07:05:09,0.45,0.12,0.06
2025-06-29 07:06:09,0.44,0.08,0.06
2025-06-29 07:07:10,0.44,0.2,0.06
2025-06-29 07:08:10,0.42,0.13,0.06
2025-06-29 07:09:11,0.43,0.15,0.06
2025-06-29 07:10:11,0.45,0.08,0.06
2025-06-29 07:11:12,0.42,0.14,0.06
2025-06-29 07:12:12,0.44,0.2,0.06
2025-06-29 07:13:13,0.42,0.14,0.06
2025-06-29 07:14:13,0.46,0.09,0.06
2025-06-29 07:15:14,0.44,0.15,0.06
2025-06-29 07:16:14,0.44,0.13,0.06
2025-06-29 07:17:15,0.44,0.16,0.06
2025-06-29 07:18:15,0.44,0.14,0.06
2025-06-29 07:19:16,0.43,0.18,0.06
2025-06-29 07:20:16,0.43,0.17,0.06
2025-06-29 07:21:17,0.43,0.2,0.06
2025-06-29 07:22:17,0.44,0.19,0.06
2025-06-29 07:23:18,0.45,0.1,0.06
2025-06-29 07:24:18,0.44,0.16,0.06
2025-06-29 07:25:19,0.42,0.15,0.06
2025-06-29 07:26:20,0.42,0.15,0.06
2025-06-29 07:27:20,0.42,0.15,0.06
2025-06-29 07:28:21,0.42,0.15,0.06
2025-06-29 07:29:21,0.44,0.13,0.06
2025-06-29 07:30:22,0.43,0.15,0.06
2025-06-29 07:31:22,0.44,0.12,0.06
2025-06-29 07:32:23,0.44,0.15,0.06
2025-06-29 07:33:23,0.45,0.12,0.06
2025-06-29 07:34:24,0.44,0.12,0.06
2025-06-29 07:35:24,0.45,0.11,0.06
2025-06-29 07:36:25,0.45,0.11,0.06
2025-06-29 07:37:25,0.73,0.17,0.06
2025-06-29 07:38:26,0.73,0.17,0.06
2025-06-29 07:39:26,0.7,0.24,0.06
2025-06-29 07:40:27,0.7,0.26,0.06
2025-06-29 07:41:27,0.72,0.15,0.06
2025-06-29 07:42:28,0.72,0.17,0.06
2025-06-29 07:43:28,0.72,0.14,0.06
2025-06-29 07:44:29,0.48,0.16,0.06
2025-06-29 07:45:29,0.48,0.16,0.06
2025-06-29 07:46:21,0.48,0.11,0.06
2025-06-29 07:47:22,0.7,0.23,0.06
2025-06-29 07:48:22,0.7,0.23,0.06
2025-06-29 07:49:23,0.71,0.23,0.06
2025-06-29 07:50:23,0.7,0.22,0.06
2025-06-29 07:51:24,0.69,0.23,0.06
2025-06-29 07:52:24,0.7,0.27,0.06
2025-06-29 07:53:25,0.71,0.19,0.06
2025-06-29 07:54:25,0.71,0.12,0.06
2025-06-29 07:55:26,0.69,0.23,0.06
2025-06-29 07:56:26,0.72,0.17,0.06
2025-06-29 07:57:27,0.71,0.13,0.06
2025-06-29 07:58:27,0.72,0.18,0.06
2025-06-29 07:59:28,0.71,0.15,0.06
2025-06-29 08:00:28,0.71,0.22,0.06
2025-06-29 08:01:29,0.38,0.11,0.06
2025-06-29 08:02:29,0.38,0.13,0.06
2025-06-29 08:03:30,0.38,0.11,0.06
2025-06-29 08:04:30,0.39,0.11,0.06
2025-06-29 08:05:31,0.39,0.1,0.06
2025-06-29 08:06:32,0.38,0.07,0.06
2025-06-29 08:07:32,0.37,0.13,0.06
2025-06-29 08:08:33,0.37,0.13,0.06
2025-06-29 08:09:33,0.36,0.12,0.06
2025-06-29 08:10:34,0.37,0.1,0.06
2025-06-29 08:11:34,0.39,0.1,0.06
2025-06-29 08:12:35,0.37,0.12,0.06
2025-06-29 08:13:35,0.37,0.11,0.06
2025-06-29 08:14:36,0.38,0.12,0.06
2025-06-29 08:15:36,0.37,0.11,0.06
2025-06-29 08:16:37,0.39,0.1,0.06
2025-06-29 08:17:37,0.38,0.08,0.06
2025-06-29 08:18:38,0.39,0.1,0.06
